Size 10,444329500.00000
Size 10,69298200.00000
Size 10,43591100.00000
Size 10,160183200.00000
Size 10,79395400.00000
Size 10,48402000.00000
Size 10,48884600.00000
Size 10,40479400.00000
Size 10,94359100.00000
Size 10,19736900.00000
Size 20,46850300.00000
Size 20,18568400.00000
Size 20,16651500.00000
Size 20,30938100.00000
Size 20,12816800.00000
Size 20,34499500.00000
Size 20,46601500.00000
Size 20,31144400.00000
Size 20,39101800.00000
Size 20,52598500.00000
Size 20,13525800.00000
Size 20,44152900.00000
Size 20,16783200.00000
Size 20,35587500.00000
Size 20,33138200.00000
Size 20,40334200.00000
Size 20,27971100.00000
Size 20,32519300.00000
Size 20,29106400.00000
Size 20,20100000.00000
Size 50,16210900.00000
Size 50,22792100.00000
Size 50,71244700.00000
Size 50,27992800.00000
Size 50,49926500.00000
Size 50,15778100.00000
Size 50,30493000.00000
Size 50,33462200.00000
Size 50,76301200.00000
Size 50,30005600.00000
Size 50,18830000.00000
Size 50,34875500.00000
Size 50,13099900.00000
Size 50,27010100.00000
Size 50,15041700.00000
Size 50,73155200.00000
Size 50,19705100.00000
Size 50,45281300.00000
Size 50,53281000.00000
Size 50,22411600.00000
Size 50,14450500.00000
Size 50,15673500.00000
Size 50,17588600.00000
Size 50,17540000.00000
Size 50,39094100.00000
Size 50,18940900.00000
Size 50,37637500.00000
Size 50,33909500.00000
Size 50,72479900.00000
Size 50,17918200.00000
Size 50,25667500.00000
Size 50,52765200.00000
Size 50,35930000.00000
Size 50,19744600.00000
Size 50,21467300.00000
Size 50,47115200.00000
Size 50,44546300.00000
Size 50,34263700.00000
Size 50,36317500.00000
Size 50,55207500.00000
Size 50,23646300.00000
Size 50,17987400.00000
Size 50,35545500.00000
Size 50,35966300.00000
Size 50,23926600.00000
Size 50,35115400.00000
Size 50,21977200.00000
Size 50,31330700.00000
Size 50,16694000.00000
Size 50,38995000.00000
Size 100,33964800.00000
Size 100,24016600.00000
Size 100,18585600.00000
Size 100,51138800.00000
Size 100,14374600.00000
Size 100,28126000.00000
Size 100,37451100.00000
Size 100,33959600.00000
Size 100,16850600.00000
Size 100,24711400.00000
Size 100,24071500.00000
Size 100,82932700.00000
Size 100,30288000.00000
Size 100,82528500.00000
Size 100,14643600.00000
Size 100,17128200.00000
Size 100,17697500.00000
Size 100,15254200.00000
Size 100,46906300.00000
Size 100,21257800.00000
Size 100,28553400.00000
Size 100,20960900.00000
Size 100,23759400.00000
Size 100,29025500.00000
Size 100,25916000.00000
Size 100,17528200.00000
Size 100,73437900.00000
Size 100,24427200.00000
Size 100,15725100.00000
Size 100,16383600.00000
Size 100,14151200.00000
Size 100,15964800.00000
Size 100,17953300.00000
Size 100,49664300.00000
Size 100,22162400.00000
Size 100,17699000.00000
Size 100,86427100.00000
Size 100,45329600.00000
Size 100,16354400.00000
Size 100,19807900.00000
Size 100,16767600.00000
Size 100,14056300.00000
Size 100,32421700.00000
Size 100,27846300.00000
Size 100,34814100.00000
Size 100,36775200.00000
Size 100,21196300.00000
Size 100,28466700.00000
Size 100,107912500.00000
